complaint_text,complainant,accused
Advocate Rakesh Kumar lodged a complaint against State Education Minister with the authorities.,Advocate Rakesh Kumar,State Education Minister
Journalists Association of Delhi raised concerns regarding behaviour of Zonal Commissioner.,Journalists Association of Delhi,Zonal Commissioner
Suo-Motu cognizance with regard to District Magistrate allegedly harassing Smt. Rekha Singh during coverage of an event.,Smt. Rekha Singh,District Magistrate
Suo-Motu cognizance regarding misconduct by Block Development Officer involving Ms. Neha Dubey.,Ms. Neha Dubey,Block Development Officer
A complaint has been registered by Ms. Priya Sharma against Zonal Commissioner for misconduct.,Ms. Priya Sharma,Zonal Commissioner
Ms. Priya Sharma raised concerns regarding behaviour of Political Party Worker.,Ms. Priya Sharma,Political Party Worker
Complaint submitted by National Human Rights Commission alleging harassment by Government Official.,National Human Rights Commission,Government Official
Smt. Sunita Gupta filed a report against Tehsildar citing threats and intimidation.,Smt. Sunita Gupta,Tehsildar
A complaint has been registered by National Human Rights Commission against Tehsildar for misconduct.,National Human Rights Commission,Tehsildar
Ms. Neha Dubey filed a report against Rajkot Collector citing threats and intimidation.,Ms. Neha Dubey,Rajkot Collector
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Tehsildar.,Mr. Rahul Tiwari,Tehsildar
Formal complaint by National Human Rights Commission accusing Government Official of corruption.,National Human Rights Commission,Government Official
Mr. Arvind Yadav lodged a complaint against Ranchi SP with the authorities.,Mr. Arvind Yadav,Ranchi SP
A complaint has been registered by Advocate Rakesh Kumar against Tehsildar for misconduct.,Advocate Rakesh Kumar,Tehsildar
Complaint submitted by Shri Rajesh Jain alleging harassment by Zonal Commissioner.,Shri Rajesh Jain,Zonal Commissioner
Complaint filed by National Human Rights Commission against Government Official for abuse of power.,National Human Rights Commission,Government Official
Media Council of India raised concerns regarding behaviour of Rajkot Collector.,Media Council of India,Rajkot Collector
Press Club of India filed a report against District Magistrate citing threats and intimidation.,Press Club of India,District Magistrate
Suo-Motu cognizance of unlawful detention of Smt. Sunita Gupta by Block Development Officer.,Smt. Sunita Gupta,Block Development Officer
Suo-Motu cognizance with regard to Local MLA allegedly bribing Ms. Neha Dubey for media coverage.,Ms. Neha Dubey,Local MLA
Journalists Association of Delhi lodged a complaint against Tehsildar with the authorities.,Journalists Association of Delhi,Tehsildar
Formal complaint by Shri Rajesh Jain accusing District Magistrate of corruption.,Shri Rajesh Jain,District Magistrate
"According to Shri Aman Verma, Political Party Worker obstructed journalistic activities.",Shri Aman Verma,Political Party Worker
Formal complaint by Press Club of India accusing Political Party Worker of corruption.,Press Club of India,Political Party Worker
Suo-Motu cognizance with regard to an incident involving District Magistrate and Ms. Neha Dubey.,Ms. Neha Dubey,District Magistrate
Suo-Motu cognizance with regard to Media House Owner allegedly attacking Shri Rajesh Jain.,Shri Rajesh Jain,Media House Owner
Suo-Motu cognizance regarding misconduct by Government Official involving Shri Rajesh Jain.,Shri Rajesh Jain,Government Official
Formal complaint by Smt. Sunita Gupta accusing Traffic Police Officer of corruption.,Smt. Sunita Gupta,Traffic Police Officer
Complaint filed by Media Council of India against Local MLA for abuse of power.,Media Council of India,Local MLA
Suo-Motu cognizance regarding misconduct by Traffic Police Officer involving Media Council of India.,Media Council of India,Traffic Police Officer
A complaint has been registered by Editor of The Daily News against Political Party Worker for misconduct.,Editor of The Daily News,Political Party Worker
A complaint has been registered by Journalists Association of Delhi against Traffic Police Officer for misconduct.,Journalists Association of Delhi,Traffic Police Officer
Mr. Rahul Tiwari raised concerns regarding behaviour of District Magistrate.,Mr. Rahul Tiwari,District Magistrate
Ms. Priya Sharma has accused Block Development Officer of unlawful conduct.,Ms. Priya Sharma,Block Development Officer
Complaint submitted by Smt. Sunita Gupta alleging harassment by Police Constable.,Smt. Sunita Gupta,Police Constable
National Human Rights Commission raised concerns regarding behaviour of Ranchi SP.,National Human Rights Commission,Ranchi SP
Suo-Motu cognizance with regard to Delhi Police allegedly attacking Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Delhi Police
Suo-Motu cognizance with regard to Tehsildar allegedly harassing Ms. Neha Dubey during coverage of an event.,Ms. Neha Dubey,Tehsildar
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Rajkot Collector.,Mr. Rahul Tiwari,Rajkot Collector
"According to Mr. Arvind Yadav, Police Constable obstructed journalistic activities.",Mr. Arvind Yadav,Police Constable
Complaint filed by Smt. Sunita Gupta against Traffic Police Officer for abuse of power.,Smt. Sunita Gupta,Traffic Police Officer
Complaint submitted by Media Council of India alleging harassment by Police Constable.,Media Council of India,Police Constable
National Human Rights Commission has accused Media House Owner of unlawful conduct.,National Human Rights Commission,Media House Owner
Formal complaint by National Human Rights Commission accusing Delhi Police of corruption.,National Human Rights Commission,Delhi Police
Complaint submitted by Press Club of India alleging harassment by Inspector General.,Press Club of India,Inspector General
Mr. Arvind Yadav has accused Zonal Commissioner of unlawful conduct.,Mr. Arvind Yadav,Zonal Commissioner
Mr. Rahul Tiwari raised concerns regarding behaviour of District Magistrate.,Mr. Rahul Tiwari,District Magistrate
Mr. Arvind Yadav lodged a complaint against Tehsildar with the authorities.,Mr. Arvind Yadav,Tehsildar
Editor of The Daily News filed a report against Media House Owner citing threats and intimidation.,Editor of The Daily News,Media House Owner
"According to Editor of The Daily News, Police Constable obstructed journalistic activities.",Editor of The Daily News,Police Constable
"According to Press Club of India, District Magistrate obstructed journalistic activities.",Press Club of India,District Magistrate
Complaint filed by Smt. Rekha Singh against Delhi Police for abuse of power.,Smt. Rekha Singh,Delhi Police
Editor of The Daily News has accused Inspector General of unlawful conduct.,Editor of The Daily News,Inspector General
"According to Ms. Priya Sharma, Traffic Police Officer obstructed journalistic activities.",Ms. Priya Sharma,Traffic Police Officer
"According to National Human Rights Commission, Ranchi SP obstructed journalistic activities.",National Human Rights Commission,Ranchi SP
Formal complaint by Shri Rajesh Jain accusing Rajkot Collector of corruption.,Shri Rajesh Jain,Rajkot Collector
Complaint submitted by Shri Rajesh Jain alleging harassment by State Education Minister.,Shri Rajesh Jain,State Education Minister
Smt. Sunita Gupta has accused District Magistrate of unlawful conduct.,Smt. Sunita Gupta,District Magistrate
Complaint filed by Press Club of India against State Education Minister for abuse of power.,Press Club of India,State Education Minister
A complaint has been registered by Smt. Rekha Singh against State Education Minister for misconduct.,Smt. Rekha Singh,State Education Minister
National Human Rights Commission raised concerns regarding behaviour of Inspector General.,National Human Rights Commission,Inspector General
Press Club of India filed a report against Zonal Commissioner citing threats and intimidation.,Press Club of India,Zonal Commissioner
Complaint submitted by National Human Rights Commission alleging harassment by Zonal Commissioner.,National Human Rights Commission,Zonal Commissioner
Complaint submitted by Press Club of India alleging harassment by Zonal Commissioner.,Press Club of India,Zonal Commissioner
A complaint has been registered by Journalists Association of Delhi against State Education Minister for misconduct.,Journalists Association of Delhi,State Education Minister
A complaint has been registered by Ms. Neha Dubey against District Magistrate for misconduct.,Ms. Neha Dubey,District Magistrate
Shri Rajesh Jain has accused Delhi Police of unlawful conduct.,Shri Rajesh Jain,Delhi Police
Journalists Association of Delhi lodged a complaint against Police Constable with the authorities.,Journalists Association of Delhi,Police Constable
Shri Rajesh Jain filed a report against Government Official citing threats and intimidation.,Shri Rajesh Jain,Government Official
Suo-Motu cognizance in the case of Block Development Officer allegedly threatening Mr. Arvind Yadav.,Mr. Arvind Yadav,Block Development Officer
Formal complaint by Mr. Rahul Tiwari accusing Traffic Police Officer of corruption.,Mr. Rahul Tiwari,Traffic Police Officer
"According to Editor of The Daily News, Traffic Police Officer obstructed journalistic activities.",Editor of The Daily News,Traffic Police Officer
Suo-Motu cognizance of unlawful detention of Journalists Association of Delhi by Political Party Worker.,Journalists Association of Delhi,Political Party Worker
Advocate Rakesh Kumar has accused State Education Minister of unlawful conduct.,Advocate Rakesh Kumar,State Education Minister
Complaint filed by Press Club of India against Ranchi SP for abuse of power.,Press Club of India,Ranchi SP
Suo-Motu cognizance in the case of Police Constable allegedly threatening Mr. Arvind Yadav.,Mr. Arvind Yadav,Police Constable
Formal complaint by National Human Rights Commission accusing Traffic Police Officer of corruption.,National Human Rights Commission,Traffic Police Officer
Media Council of India has accused Government Official of unlawful conduct.,Media Council of India,Government Official
Complaint submitted by Media Council of India alleging harassment by Block Development Officer.,Media Council of India,Block Development Officer
Suo-Motu cognizance with regard to an incident involving Block Development Officer and National Human Rights Commission.,National Human Rights Commission,Block Development Officer
Shri Rajesh Jain has accused Police Constable of unlawful conduct.,Shri Rajesh Jain,Police Constable
Smt. Rekha Singh lodged a complaint against Media House Owner with the authorities.,Smt. Rekha Singh,Media House Owner
Formal complaint by Advocate Rakesh Kumar accusing Rajkot Collector of corruption.,Advocate Rakesh Kumar,Rajkot Collector
Mr. Rahul Tiwari lodged a complaint against Political Party Worker with the authorities.,Mr. Rahul Tiwari,Political Party Worker
Shri Aman Verma raised concerns regarding behaviour of Rajkot Collector.,Shri Aman Verma,Rajkot Collector
Complaint filed by Advocate Rakesh Kumar against Tehsildar for abuse of power.,Advocate Rakesh Kumar,Tehsildar
Editor of The Daily News has accused Delhi Police of unlawful conduct.,Editor of The Daily News,Delhi Police
A complaint has been registered by Journalists Association of Delhi against State Education Minister for misconduct.,Journalists Association of Delhi,State Education Minister
A complaint has been registered by Mr. Rahul Tiwari against Rajkot Collector for misconduct.,Mr. Rahul Tiwari,Rajkot Collector
Suo-Motu cognizance with regard to Ranchi SP allegedly attacking Journalists Association of Delhi.,Journalists Association of Delhi,Ranchi SP
Advocate Rakesh Kumar lodged a complaint against Traffic Police Officer with the authorities.,Advocate Rakesh Kumar,Traffic Police Officer
Suo-Motu cognizance with regard to Political Party Worker allegedly attacking Media Council of India.,Media Council of India,Political Party Worker
"According to Advocate Rakesh Kumar, Traffic Police Officer obstructed journalistic activities.",Advocate Rakesh Kumar,Traffic Police Officer
Formal complaint by Media Council of India accusing District Magistrate of corruption.,Media Council of India,District Magistrate
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Rajkot Collector.,Advocate Rakesh Kumar,Rajkot Collector
A complaint has been registered by Shri Aman Verma against Police Constable for misconduct.,Shri Aman Verma,Police Constable
"According to Shri Rajesh Jain, Police Constable obstructed journalistic activities.",Shri Rajesh Jain,Police Constable
Formal complaint by Mr. Arvind Yadav accusing Police Constable of corruption.,Mr. Arvind Yadav,Police Constable
Complaint filed by Advocate Rakesh Kumar against District Magistrate for abuse of power.,Advocate Rakesh Kumar,District Magistrate
Suo-Motu cognizance of unlawful detention of Smt. Rekha Singh by Traffic Police Officer.,Smt. Rekha Singh,Traffic Police Officer
Advocate Rakesh Kumar has accused State Education Minister of unlawful conduct.,Advocate Rakesh Kumar,State Education Minister
Complaint filed by Press Club of India against Government Official for abuse of power.,Press Club of India,Government Official
National Human Rights Commission has accused Rajkot Collector of unlawful conduct.,National Human Rights Commission,Rajkot Collector
Complaint submitted by Smt. Rekha Singh alleging harassment by Political Party Worker.,Smt. Rekha Singh,Political Party Worker
Ms. Neha Dubey raised concerns regarding behaviour of Political Party Worker.,Ms. Neha Dubey,Political Party Worker
Formal complaint by Mr. Rahul Tiwari accusing Delhi Police of corruption.,Mr. Rahul Tiwari,Delhi Police
"According to Mr. Arvind Yadav, State Education Minister obstructed journalistic activities.",Mr. Arvind Yadav,State Education Minister
Ms. Priya Sharma lodged a complaint against State Education Minister with the authorities.,Ms. Priya Sharma,State Education Minister
Ms. Neha Dubey filed a report against Delhi Police citing threats and intimidation.,Ms. Neha Dubey,Delhi Police
Editor of The Daily News filed a report against Zonal Commissioner citing threats and intimidation.,Editor of The Daily News,Zonal Commissioner
"According to Smt. Rekha Singh, Police Constable obstructed journalistic activities.",Smt. Rekha Singh,Police Constable
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Zonal Commissioner.,Advocate Rakesh Kumar,Zonal Commissioner
Suo-Motu cognizance with regard to Ranchi SP allegedly bribing Media Council of India for media coverage.,Media Council of India,Ranchi SP
Suo-Motu cognizance of unlawful detention of National Human Rights Commission by Tehsildar.,National Human Rights Commission,Tehsildar
Suo-Motu cognizance with regard to Police Constable allegedly harassing National Human Rights Commission during coverage of an event.,National Human Rights Commission,Police Constable
Suo-Motu cognizance in the case of District Magistrate allegedly threatening Smt. Sunita Gupta.,Smt. Sunita Gupta,District Magistrate
Complaint filed by Advocate Rakesh Kumar against Local MLA for abuse of power.,Advocate Rakesh Kumar,Local MLA
"According to Mr. Arvind Yadav, Local MLA obstructed journalistic activities.",Mr. Arvind Yadav,Local MLA
Mr. Rahul Tiwari lodged a complaint against District Magistrate with the authorities.,Mr. Rahul Tiwari,District Magistrate
Formal complaint by Press Club of India accusing Inspector General of corruption.,Press Club of India,Inspector General
Suo-Motu cognizance with regard to Government Official allegedly harassing Advocate Rakesh Kumar during coverage of an event.,Advocate Rakesh Kumar,Government Official
Suo-Motu cognizance in the case of Political Party Worker allegedly threatening Ms. Priya Sharma.,Ms. Priya Sharma,Political Party Worker
Complaint filed by Ms. Neha Dubey against Rajkot Collector for abuse of power.,Ms. Neha Dubey,Rajkot Collector
Shri Rajesh Jain lodged a complaint against Police Constable with the authorities.,Shri Rajesh Jain,Police Constable
Suo-Motu cognizance with regard to an incident involving Local MLA and Media Council of India.,Media Council of India,Local MLA
Suo-Motu cognizance with regard to Inspector General allegedly attacking Ms. Neha Dubey.,Ms. Neha Dubey,Inspector General
Ms. Priya Sharma raised concerns regarding behaviour of Government Official.,Ms. Priya Sharma,Government Official
Suo-Motu cognizance regarding misconduct by Delhi Police involving Press Club of India.,Press Club of India,Delhi Police
Smt. Rekha Singh raised concerns regarding behaviour of Ranchi SP.,Smt. Rekha Singh,Ranchi SP
Suo-Motu cognizance with regard to Rajkot Collector allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,Rajkot Collector
A complaint has been registered by Ms. Neha Dubey against Local MLA for misconduct.,Ms. Neha Dubey,Local MLA
Formal complaint by Ms. Neha Dubey accusing Delhi Police of corruption.,Ms. Neha Dubey,Delhi Police
Shri Rajesh Jain has accused Rajkot Collector of unlawful conduct.,Shri Rajesh Jain,Rajkot Collector
Suo-Motu cognizance with regard to Rajkot Collector allegedly bribing Press Club of India for media coverage.,Press Club of India,Rajkot Collector
Complaint filed by Editor of The Daily News against Inspector General for abuse of power.,Editor of The Daily News,Inspector General
Mr. Rahul Tiwari filed a report against Government Official citing threats and intimidation.,Mr. Rahul Tiwari,Government Official
"According to Journalists Association of Delhi, Traffic Police Officer obstructed journalistic activities.",Journalists Association of Delhi,Traffic Police Officer
Formal complaint by Journalists Association of Delhi accusing Political Party Worker of corruption.,Journalists Association of Delhi,Political Party Worker
Complaint filed by Smt. Sunita Gupta against Rajkot Collector for abuse of power.,Smt. Sunita Gupta,Rajkot Collector
Suo-Motu cognizance in the case of Delhi Police allegedly threatening Mr. Arvind Yadav.,Mr. Arvind Yadav,Delhi Police
Suo-Motu cognizance with regard to District Magistrate allegedly attacking Mr. Arvind Yadav.,Mr. Arvind Yadav,District Magistrate
Suo-Motu cognizance with regard to Local MLA allegedly bribing National Human Rights Commission for media coverage.,National Human Rights Commission,Local MLA
Complaint filed by Media Council of India against Media House Owner for abuse of power.,Media Council of India,Media House Owner
Smt. Sunita Gupta lodged a complaint against Local MLA with the authorities.,Smt. Sunita Gupta,Local MLA
"According to Media Council of India, Inspector General obstructed journalistic activities.",Media Council of India,Inspector General
Suo-Motu cognizance regarding misconduct by Government Official involving Mr. Arvind Yadav.,Mr. Arvind Yadav,Government Official
Complaint filed by Mr. Arvind Yadav against Inspector General for abuse of power.,Mr. Arvind Yadav,Inspector General
"According to Press Club of India, Zonal Commissioner obstructed journalistic activities.",Press Club of India,Zonal Commissioner
Shri Aman Verma raised concerns regarding behaviour of Tehsildar.,Shri Aman Verma,Tehsildar
Suo-Motu cognizance with regard to Media House Owner allegedly harassing Advocate Rakesh Kumar during coverage of an event.,Advocate Rakesh Kumar,Media House Owner
Suo-Motu cognizance with regard to Police Constable allegedly harassing Mr. Rahul Tiwari during coverage of an event.,Mr. Rahul Tiwari,Police Constable
Shri Aman Verma has accused Traffic Police Officer of unlawful conduct.,Shri Aman Verma,Traffic Police Officer
Complaint submitted by Press Club of India alleging harassment by Ranchi SP.,Press Club of India,Ranchi SP
Shri Rajesh Jain raised concerns regarding behaviour of Delhi Police.,Shri Rajesh Jain,Delhi Police
Mr. Rahul Tiwari filed a report against Political Party Worker citing threats and intimidation.,Mr. Rahul Tiwari,Political Party Worker
Smt. Sunita Gupta has accused Local MLA of unlawful conduct.,Smt. Sunita Gupta,Local MLA
Suo-Motu cognizance regarding misconduct by Traffic Police Officer involving Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Traffic Police Officer
National Human Rights Commission has accused State Education Minister of unlawful conduct.,National Human Rights Commission,State Education Minister
Smt. Sunita Gupta filed a report against Ranchi SP citing threats and intimidation.,Smt. Sunita Gupta,Ranchi SP
Complaint filed by Editor of The Daily News against Traffic Police Officer for abuse of power.,Editor of The Daily News,Traffic Police Officer
Complaint filed by Shri Aman Verma against Political Party Worker for abuse of power.,Shri Aman Verma,Political Party Worker
Shri Aman Verma filed a report against Media House Owner citing threats and intimidation.,Shri Aman Verma,Media House Owner
National Human Rights Commission lodged a complaint against District Magistrate with the authorities.,National Human Rights Commission,District Magistrate
Journalists Association of Delhi raised concerns regarding behaviour of Delhi Police.,Journalists Association of Delhi,Delhi Police
Complaint filed by Journalists Association of Delhi against State Education Minister for abuse of power.,Journalists Association of Delhi,State Education Minister
Editor of The Daily News lodged a complaint against District Magistrate with the authorities.,Editor of The Daily News,District Magistrate
Mr. Arvind Yadav lodged a complaint against Media House Owner with the authorities.,Mr. Arvind Yadav,Media House Owner
Formal complaint by Advocate Rakesh Kumar accusing Inspector General of corruption.,Advocate Rakesh Kumar,Inspector General
Suo-Motu cognizance with regard to Block Development Officer allegedly attacking Shri Aman Verma.,Shri Aman Verma,Block Development Officer
Suo-Motu cognizance with regard to District Magistrate allegedly bribing Mr. Arvind Yadav for media coverage.,Mr. Arvind Yadav,District Magistrate
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Rajkot Collector.,Mr. Rahul Tiwari,Rajkot Collector
Smt. Rekha Singh has accused Government Official of unlawful conduct.,Smt. Rekha Singh,Government Official
"According to Ms. Priya Sharma, Block Development Officer obstructed journalistic activities.",Ms. Priya Sharma,Block Development Officer
Media Council of India raised concerns regarding behaviour of Rajkot Collector.,Media Council of India,Rajkot Collector
Formal complaint by Journalists Association of Delhi accusing Local MLA of corruption.,Journalists Association of Delhi,Local MLA
Formal complaint by Advocate Rakesh Kumar accusing District Magistrate of corruption.,Advocate Rakesh Kumar,District Magistrate
Mr. Rahul Tiwari lodged a complaint against Political Party Worker with the authorities.,Mr. Rahul Tiwari,Political Party Worker
Smt. Rekha Singh lodged a complaint against Police Constable with the authorities.,Smt. Rekha Singh,Police Constable
Ms. Priya Sharma filed a report against Rajkot Collector citing threats and intimidation.,Ms. Priya Sharma,Rajkot Collector
Complaint filed by Smt. Rekha Singh against Rajkot Collector for abuse of power.,Smt. Rekha Singh,Rajkot Collector
Editor of The Daily News has accused Tehsildar of unlawful conduct.,Editor of The Daily News,Tehsildar
Complaint submitted by Shri Aman Verma alleging harassment by Traffic Police Officer.,Shri Aman Verma,Traffic Police Officer
Mr. Rahul Tiwari lodged a complaint against Media House Owner with the authorities.,Mr. Rahul Tiwari,Media House Owner
A complaint has been registered by Journalists Association of Delhi against Ranchi SP for misconduct.,Journalists Association of Delhi,Ranchi SP
Suo-Motu cognizance regarding misconduct by Zonal Commissioner involving Shri Aman Verma.,Shri Aman Verma,Zonal Commissioner
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Delhi Police.,Advocate Rakesh Kumar,Delhi Police
Shri Rajesh Jain has accused Police Constable of unlawful conduct.,Shri Rajesh Jain,Police Constable
Complaint filed by Smt. Rekha Singh against Rajkot Collector for abuse of power.,Smt. Rekha Singh,Rajkot Collector
Formal complaint by Shri Aman Verma accusing State Education Minister of corruption.,Shri Aman Verma,State Education Minister
A complaint has been registered by Advocate Rakesh Kumar against District Magistrate for misconduct.,Advocate Rakesh Kumar,District Magistrate
Mr. Arvind Yadav filed a report against Delhi Police citing threats and intimidation.,Mr. Arvind Yadav,Delhi Police
Smt. Sunita Gupta raised concerns regarding behaviour of Ranchi SP.,Smt. Sunita Gupta,Ranchi SP
Suo-Motu cognizance with regard to Delhi Police allegedly attacking Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Delhi Police
Formal complaint by Smt. Rekha Singh accusing Zonal Commissioner of corruption.,Smt. Rekha Singh,Zonal Commissioner
Ms. Priya Sharma raised concerns regarding behaviour of Inspector General.,Ms. Priya Sharma,Inspector General
Suo-Motu cognizance in the case of Tehsildar allegedly threatening Press Club of India.,Press Club of India,Tehsildar
A complaint has been registered by National Human Rights Commission against District Magistrate for misconduct.,National Human Rights Commission,District Magistrate
Editor of The Daily News lodged a complaint against Rajkot Collector with the authorities.,Editor of The Daily News,Rajkot Collector
Suo-Motu cognizance of unlawful detention of Editor of The Daily News by Government Official.,Editor of The Daily News,Government Official
Complaint submitted by Shri Aman Verma alleging harassment by Government Official.,Shri Aman Verma,Government Official
Shri Aman Verma has accused Ranchi SP of unlawful conduct.,Shri Aman Verma,Ranchi SP
Formal complaint by Press Club of India accusing Political Party Worker of corruption.,Press Club of India,Political Party Worker
A complaint has been registered by Ms. Priya Sharma against Delhi Police for misconduct.,Ms. Priya Sharma,Delhi Police
Mr. Rahul Tiwari raised concerns regarding behaviour of Media House Owner.,Mr. Rahul Tiwari,Media House Owner
"According to National Human Rights Commission, Ranchi SP obstructed journalistic activities.",National Human Rights Commission,Ranchi SP
A complaint has been registered by Press Club of India against Inspector General for misconduct.,Press Club of India,Inspector General
Shri Rajesh Jain raised concerns regarding behaviour of Government Official.,Shri Rajesh Jain,Government Official
Complaint submitted by Shri Rajesh Jain alleging harassment by Media House Owner.,Shri Rajesh Jain,Media House Owner
Suo-Motu cognizance with regard to Delhi Police allegedly harassing Smt. Rekha Singh during coverage of an event.,Smt. Rekha Singh,Delhi Police
Formal complaint by Shri Rajesh Jain accusing Block Development Officer of corruption.,Shri Rajesh Jain,Block Development Officer
Editor of The Daily News has accused Delhi Police of unlawful conduct.,Editor of The Daily News,Delhi Police
National Human Rights Commission lodged a complaint against State Education Minister with the authorities.,National Human Rights Commission,State Education Minister
Advocate Rakesh Kumar raised concerns regarding behaviour of Ranchi SP.,Advocate Rakesh Kumar,Ranchi SP
Formal complaint by Mr. Arvind Yadav accusing Media House Owner of corruption.,Mr. Arvind Yadav,Media House Owner
Shri Rajesh Jain filed a report against Ranchi SP citing threats and intimidation.,Shri Rajesh Jain,Ranchi SP
Suo-Motu cognizance regarding misconduct by Zonal Commissioner involving Shri Aman Verma.,Shri Aman Verma,Zonal Commissioner
Ms. Priya Sharma raised concerns regarding behaviour of Block Development Officer.,Ms. Priya Sharma,Block Development Officer
Editor of The Daily News filed a report against Tehsildar citing threats and intimidation.,Editor of The Daily News,Tehsildar
"According to National Human Rights Commission, Media House Owner obstructed journalistic activities.",National Human Rights Commission,Media House Owner
Formal complaint by Editor of The Daily News accusing Ranchi SP of corruption.,Editor of The Daily News,Ranchi SP
Formal complaint by Mr. Arvind Yadav accusing District Magistrate of corruption.,Mr. Arvind Yadav,District Magistrate
Complaint filed by Ms. Neha Dubey against State Education Minister for abuse of power.,Ms. Neha Dubey,State Education Minister
Suo-Motu cognizance with regard to Delhi Police allegedly bribing Shri Rajesh Jain for media coverage.,Shri Rajesh Jain,Delhi Police
Editor of The Daily News has accused Inspector General of unlawful conduct.,Editor of The Daily News,Inspector General
Complaint filed by Shri Aman Verma against Media House Owner for abuse of power.,Shri Aman Verma,Media House Owner
Complaint submitted by Mr. Arvind Yadav alleging harassment by Block Development Officer.,Mr. Arvind Yadav,Block Development Officer
Suo-Motu cognizance of unlawful detention of Shri Rajesh Jain by Delhi Police.,Shri Rajesh Jain,Delhi Police
Suo-Motu cognizance with regard to an incident involving Tehsildar and Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Tehsildar
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Delhi Police.,Advocate Rakesh Kumar,Delhi Police
Complaint submitted by Editor of The Daily News alleging harassment by Rajkot Collector.,Editor of The Daily News,Rajkot Collector
Suo-Motu cognizance with regard to an incident involving District Magistrate and Advocate Rakesh Kumar.,Advocate Rakesh Kumar,District Magistrate
Formal complaint by Editor of The Daily News accusing Block Development Officer of corruption.,Editor of The Daily News,Block Development Officer
Smt. Sunita Gupta has accused Block Development Officer of unlawful conduct.,Smt. Sunita Gupta,Block Development Officer
Shri Rajesh Jain filed a report against Rajkot Collector citing threats and intimidation.,Shri Rajesh Jain,Rajkot Collector
"According to Smt. Sunita Gupta, Delhi Police obstructed journalistic activities.",Smt. Sunita Gupta,Delhi Police
Formal complaint by Journalists Association of Delhi accusing Block Development Officer of corruption.,Journalists Association of Delhi,Block Development Officer
Shri Rajesh Jain has accused Political Party Worker of unlawful conduct.,Shri Rajesh Jain,Political Party Worker
Suo-Motu cognizance with regard to Police Constable allegedly bribing Shri Aman Verma for media coverage.,Shri Aman Verma,Police Constable
Complaint filed by Media Council of India against Government Official for abuse of power.,Media Council of India,Government Official
Shri Rajesh Jain lodged a complaint against District Magistrate with the authorities.,Shri Rajesh Jain,District Magistrate
Journalists Association of Delhi filed a report against Local MLA citing threats and intimidation.,Journalists Association of Delhi,Local MLA
Mr. Arvind Yadav lodged a complaint against Political Party Worker with the authorities.,Mr. Arvind Yadav,Political Party Worker
Suo-Motu cognizance in the case of Government Official allegedly threatening Mr. Arvind Yadav.,Mr. Arvind Yadav,Government Official
A complaint has been registered by Media Council of India against State Education Minister for misconduct.,Media Council of India,State Education Minister
"According to Mr. Arvind Yadav, Inspector General obstructed journalistic activities.",Mr. Arvind Yadav,Inspector General
Complaint filed by Press Club of India against Rajkot Collector for abuse of power.,Press Club of India,Rajkot Collector
Mr. Rahul Tiwari raised concerns regarding behaviour of Ranchi SP.,Mr. Rahul Tiwari,Ranchi SP
Editor of The Daily News raised concerns regarding behaviour of Zonal Commissioner.,Editor of The Daily News,Zonal Commissioner
"According to National Human Rights Commission, Ranchi SP obstructed journalistic activities.",National Human Rights Commission,Ranchi SP
Complaint submitted by National Human Rights Commission alleging harassment by Inspector General.,National Human Rights Commission,Inspector General
Shri Rajesh Jain filed a report against District Magistrate citing threats and intimidation.,Shri Rajesh Jain,District Magistrate
A complaint has been registered by Mr. Arvind Yadav against Ranchi SP for misconduct.,Mr. Arvind Yadav,Ranchi SP
Complaint submitted by Press Club of India alleging harassment by Political Party Worker.,Press Club of India,Political Party Worker
Suo-Motu cognizance with regard to Ranchi SP allegedly bribing National Human Rights Commission for media coverage.,National Human Rights Commission,Ranchi SP
Suo-Motu cognizance with regard to District Magistrate allegedly bribing Shri Rajesh Jain for media coverage.,Shri Rajesh Jain,District Magistrate
Formal complaint by Ms. Neha Dubey accusing District Magistrate of corruption.,Ms. Neha Dubey,District Magistrate
Shri Rajesh Jain has accused Ranchi SP of unlawful conduct.,Shri Rajesh Jain,Ranchi SP
Press Club of India filed a report against Police Constable citing threats and intimidation.,Press Club of India,Police Constable
Complaint submitted by Shri Rajesh Jain alleging harassment by Ranchi SP.,Shri Rajesh Jain,Ranchi SP
Journalists Association of Delhi filed a report against Ranchi SP citing threats and intimidation.,Journalists Association of Delhi,Ranchi SP
Complaint filed by Press Club of India against Inspector General for abuse of power.,Press Club of India,Inspector General
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Traffic Police Officer.,Advocate Rakesh Kumar,Traffic Police Officer
Suo-Motu cognizance with regard to an incident involving District Magistrate and Journalists Association of Delhi.,Journalists Association of Delhi,District Magistrate
